174569	.net	n	പുത്തന്‍ കമ്പ്യൂട്ടര്‍ സാങ്കേതികത ഭാഷ
116102	A bad patch	n	കുഴപ്പം പിടിച്ച സമയം
219752	a bag of bones	phr	വളരെയതികം മെലിഞ്ഞ വ്യക്തി അഥവാ മൃഗം
218576	a bag of bones	phr	വളരെയധികം മെലിഞ്ഞ വ്യക്തി അഥവാ മൃഗം
115869	A bed of nails	n	പ്രയാസപ്പെടുന്ന അവസ്ഥ
200587	A bed of nails	idm	ശരശയ്യ
115767	A bed of roses	n	പൂമെത്ത
115768	A bed of roses	idm	സുഖകരമായ അവസ്ഥ
113832	A bed of thorn	n	അസുഖകരമായ അവസ്ഥ
113665	A bed roses	n	പൂമെത്ത
113885	A bird in a golden cage	n	സുഖകരമെങ്കിലും സ്വാതന്ത്യ്രമില്ലാത്ത അവസ്ഥ
113886	A bird in hand is worth  two in the bush	idm	സ്വന്തമല്ലാത്തതും നല്ലതെന്നു തോന്നുന്നതുമായ വസ്‌തുക്കളേക്കാള്‍മെച്ചം ഗുണംകുറവാണെങ്കിലും സ്വന്തമായുള്ളവയാണ്‌
221825	A bird in the hand is worth two in the bush	phr	കയ്യിലുള്ള വിലകുറഞ്ഞ വസ്തുവാണ് കയ്യിലില്ലാത്ത വിലകൂടിയ വസ്തുവിലും അമൂല്യമായത്
106370	A bit	phr	ശകലം
37253	A bit much	a	അല്‍പം അമിതമായ
37254	A bit much	a	നീതിക്ക്‌ നിരക്കാത്ത
37255	A bit much	-	അല്‍പം കൂടുതല്‍
